timestamp,method,chosen_path,path_a_bytes,path_b_bytes,path_switches
21:58:02,least_utilized,B,8606370883,2935205073,1
21:58:05,least_utilized,B,8642065843,2947057515,1
21:58:07,least_utilized,B,8674900603,2958770769,1
21:58:10,least_utilized,B,8709544303,2969277321,1
21:58:12,least_utilized,B,8742791587,2981695881,1
21:58:14,least_utilized,B,8775548017,2991880881,1
22:01:24,least_utilized,B,333095154,142625284,1
22:01:26,least_utilized,B,353007162,149277076,1
22:01:28,least_utilized,B,373687836,156141262,1
22:01:30,least_utilized,B,394106778,162962566,1
22:01:32,least_utilized,B,414685710,169817554,1
22:01:35,least_utilized,B,434904780,176545492,1
22:01:37,least_utilized,B,455261388,183347980,1
22:01:39,least_utilized,B,476150094,190305868,1
22:01:41,least_utilized,B,498737916,197856418,1
22:01:43,least_utilized,B,520152456,204996376,1
22:01:45,least_utilized,B,540994272,211929022,1
22:01:47,least_utilized,B,559052466,217920616,1
22:01:49,least_utilized,B,575473740,223470622,1
22:01:51,least_utilized,B,594167496,229650880,1
22:01:53,least_utilized,B,613906080,236217580,1
22:01:55,least_utilized,B,633843288,242872508,1
22:01:58,least_utilized,B,653194146,249315644,1
22:02:00,least_utilized,B,671860985,255524485,1
22:02:02,least_utilized,B,691516673,262077073,1
22:02:04,least_utilized,B,711660563,268808329,1
22:02:06,least_utilized,B,730759583,275170951,1
22:02:08,least_utilized,B,750186455,281642437,1
22:02:10,least_utilized,B,768899043,287927611,1
22:02:12,least_utilized,B,788186223,294313543,1
22:02:14,least_utilized,B,808009581,300895489,1
22:02:16,least_utilized,B,829456437,308066947,1
22:02:18,least_utilized,B,849205635,314641291,1
22:02:21,least_utilized,B,867836301,320842591,1
22:02:23,least_utilized,B,889276113,327998803,1
22:11:24,least_utilized,A,0,0,0
22:11:26,least_utilized,B,9501696.296038242,3171011.8553628023,1
22:11:28,least_utilized,B,9455664.944888433,3147318.9608210144,1
22:11:30,least_utilized,B,9974704.29038269,3316474.8002168066,1
22:11:32,least_utilized,B,10874318.172949465,3621929.3292025425,1
22:11:34,least_utilized,B,9909291.441174107,3310496.7003967017,1
22:11:36,least_utilized,B,9489777.055570276,3163055.8034034707,1
22:11:39,least_utilized,B,10237897.691129575,3418155.9657415403,1
22:11:41,least_utilized,B,10116308.066072302,3366679.673052802,1
22:11:43,least_utilized,B,11340533.799912425,3775789.471736167,1
22:11:45,least_utilized,B,9665989.029807894,3227301.7395562134,1
22:11:47,least_utilized,B,9410334.616528142,3125683.6335155303,1
22:11:49,least_utilized,B,9172185.591292603,3063504.554393955,1
22:11:51,least_utilized,B,10223153.360505471,3411448.311163576,1
22:11:53,least_utilized,B,10700879.080297759,3560145.338747216,1
22:11:55,least_utilized,B,9633397.19951691,3226561.689307008,1
22:11:57,least_utilized,B,9627369.39795813,3193324.3479122026,1
22:11:59,least_utilized,B,9538352.649968548,3194253.446616628,1
22:12:01,least_utilized,B,9724534.105731897,3223901.5141292033,1
22:12:04,least_utilized,B,10420295.636179546,3481373.518855481,1
22:12:06,least_utilized,B,9994481.13033946,3330334.6533608334,1
22:12:08,least_utilized,B,10319520.842975065,3451183.793857442,1
22:12:10,least_utilized,B,10276328.434259545,3406805.714191849,1
22:12:12,least_utilized,B,9450092.36303782,3165247.3886925317,1
22:12:14,least_utilized,B,10815239.157579219,3594424.5396155454,1
22:12:16,least_utilized,B,10805063.069355832,3595930.931100911,1
22:12:18,least_utilized,B,10285537.956175959,3429373.888434784,1
22:12:20,least_utilized,B,10216589.43265687,3409077.839494302,1
22:12:22,least_utilized,B,10136864.830685232,3382338.3875171402,1
22:14:42,least_utilized,A,0,0,0
22:14:44,least_utilized,B,10286148.147342602,3428373.054491106,1
22:14:46,least_utilized,B,10445590.614907496,3469992.772804963,1
22:14:48,least_utilized,B,10109149.835918084,3378789.728763965,1
22:14:50,least_utilized,B,10215861.69753541,3406480.665958507,1
22:14:52,least_utilized,B,10237605.880209668,3415951.1106924373,1
22:14:54,least_utilized,B,10158658.383156395,3381288.1800571023,1
22:14:56,least_utilized,B,10143335.010186084,3390258.019326572,1
22:14:58,least_utilized,B,10399924.156797683,3448065.1443923847,1
22:15:01,least_utilized,B,10502294.420302153,3494778.4982029092,1
22:15:03,least_utilized,B,10035524.586657574,3355163.5439319527,1
22:15:05,least_utilized,B,10244366.6956013,3417494.7849767,1
22:15:07,least_utilized,B,10338321.516854538,3443829.3332597576,1
22:15:09,least_utilized,B,9327277.273402037,3115329.62566913,1
22:15:11,least_utilized,B,9602861.50127433,3221985.778088117,1
22:15:13,least_utilized,B,10681397.798573283,3536990.7164023896,1
22:15:15,least_utilized,B,10687400.664437616,3554180.9561966006,1
22:15:17,least_utilized,B,10552514.524994994,3532716.8126276894,1
22:15:19,least_utilized,B,10987076.63467083,3660687.1141827377,1
22:15:21,least_utilized,B,10892769.023401264,3616158.765330143,1
22:15:23,least_utilized,B,10650491.841632143,3563570.971423491,1
22:15:26,least_utilized,B,10968708.640403863,3664017.9318607845,1
22:15:28,least_utilized,B,10619136.00245806,3532875.2053865157,1
22:15:30,least_utilized,B,10945122.151414417,3639127.936299571,1
22:15:32,least_utilized,B,10984844.543563113,3666717.551161101,1
22:15:34,least_utilized,B,11082280.983414417,3685473.473851819,1
22:15:36,least_utilized,B,10291916.510154167,3430122.074429086,1
22:15:38,least_utilized,B,10300924.055353843,3435819.392702275,1
22:15:40,least_utilized,B,10429761.227604426,3474592.7021381436,1
22:54:07,round_robin,A,0,0,0
22:54:09,round_robin,B,6050441.785694869,2105979.434403609,1
22:54:12,round_robin,A,12080921.659440171,4070919.854177946,2
22:54:14,round_robin,B,13568743.838369796,4408775.598939887,3
22:54:17,round_robin,A,14673271.817241503,4755760.900702315,4
22:54:19,round_robin,B,14545753.538132276,4890669.612245267,5
22:54:21,round_robin,A,13155337.51276827,4734964.863998445,6
22:54:24,round_robin,B,11340479.42204419,3775224.860206198,7
22:54:26,round_robin,A,10925735.394894373,3673975.7218887173,8
22:54:29,round_robin,B,12191189.296677483,4063423.0384438694,9
22:54:31,round_robin,A,11198090.728236627,3801599.5108279777,10
22:54:33,round_robin,B,12290362.641561808,3997072.295279562,11
22:54:36,round_robin,A,11400979.366715346,3778419.105872455,12
